X1,X2,X3,X4,X5,Y,
32,84.87882,10,24.98298,121.54024,37.9,
19.5,306.5947,9,24.98034,121.53951,42.2,
13.3,561.9845,5,24.98746,121.54391,47.3,
13.3,561.9845,5,24.98746,121.54391,54.8,
5,390.5684,5,24.97937,121.54245,43.1,
7.1,2175.03,3,24.96305,121.51254,32.1,
34.5,623.4731,7,24.97933,121.53642,40.3,
20.3,287.6025,6,24.98042,121.54228,46.7,
31.7,5512.038,1,24.95095,121.48458,18.8,
17.9,1783.18,3,24.96731,121.51486,22.1,
34.8,405.2134,1,24.97349,121.53372,41.4,
6.3,90.45606,9,24.97433,121.5431,58.1,
13,492.2313,5,24.96515,121.53737,39.3,
20.4,2469.645,4,24.96108,121.51046,23.8,
13.2,1164.838,4,24.99156,121.53406,34.3,
35.7,579.2083,2,24.9824,121.54619,50.5,
0,292.9978,6,24.97744,121.54458,70.1,
17.7,350.8515,1,24.97544,121.53119,37.4,
16.9,368.1363,8,24.9675,121.54451,42.3,
1.5,23.38284,7,24.96772,121.54102,47.7,
4.5,2275.877,3,24.96314,121.51151,29.3,
10.5,279.1726,7,24.97528,121.54541,51.6,
14.7,1360.139,1,24.95204,121.54842,24.6,
10.1,279.1726,7,24.97528,121.54541,47.9,
39.6,480.6977,4,24.97353,121.53885,38.8,
29.3,1487.868,2,24.97542,121.51726,27,
3.1,383.8624,5,24.98085,121.54391,56.2,
10.4,276.449,5,24.95593,121.53913,33.6,
19.2,557.478,4,24.97419,121.53797,47,
7.1,451.2438,5,24.97563,121.54694,57.1,
25.9,4519.69,0,24.94826,121.49587,22.1,
29.6,769.4034,7,24.98281,121.53408,25,
37.9,488.5727,1,24.97349,121.53451,34.2,
16.5,323.655,6,24.97841,121.54281,49.3,
15.4,205.367,7,24.98419,121.54243,55.1,
13.9,4079.418,0,25.01459,121.51816,27.3,
14.7,1935.009,2,24.96386,121.51458,22.9,
12,1360.139,1,24.95204,121.54842,25.3,
3.1,577.9615,6,24.97201,121.54722,47.7,
16.2,289.3248,5,24.98203,121.54348,46.2,
13.6,4082.015,0,24.94155,121.50381,15.9,
16.8,4066.587,0,24.94297,121.50342,18.2,
36.1,519.4617,5,24.96305,121.53758,34.7,
34.4,512.7871,6,24.98748,121.54301,34.1,
2.7,533.4762,4,24.97445,121.54765,53.9,
36.6,488.8193,8,24.97015,121.54494,38.3,
21.7,463.9623,9,24.9703,121.54458,42,
35.9,640.7391,3,24.97563,121.53715,61.5,
24.2,4605.749,0,24.94684,121.49578,13.4,
29.4,4510.359,1,24.94925,121.49542,13.2,
21.7,512.5487,4,24.974,121.53842,44.2,
31.3,1758.406,1,24.95402,121.55282,20.7,
32.1,1438.579,3,24.97419,121.5175,27,
13.3,492.2313,5,24.96515,121.53737,38.9,
16.1,289.3248,5,24.98203,121.54348,51.7,
31.7,1160.632,0,24.94968,121.53009,13.7,
33.6,371.2495,8,24.97254,121.54059,41.9,
3.5,56.47425,7,24.95744,121.53711,53.5,
30.3,4510.359,1,24.94925,121.49542,22.6,
13.3,336.0532,5,24.95776,121.53438,42.4,
